tweet_text,img_path,prediction,ground_truth,prediction_conf
"California Wildfires Toll: 42 Dead, $1 Billion In Damages, 8400 Structures #Survival https://t.co/72qM3YHI2R https://t.co/NCHIyjA8bc",/home/julian/datasets/crisis_mmd/data_image/california_wildfires/27_10_2017/923727709641084928_0.jpg,1,1,0.89867336
Here’s how to get rid of your Tropical Storm Irma debris https://t.co/qQnPUQTsT6 https://t.co/QhGHEqZDzz,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909806996878061568_0.jpg,0,0,0.91512114
Irma's devastating impact on Caribbean Islands (NBC News) https://t.co/e4wZQMOXWi https://t.co/yguhiisUdD,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/17_9_2017/909438062979158017_0.jpg,1,1,0.99337363
Federal loans approved to help cities in Hurricane Harvey's wake - Independent.ie https://t.co/0uGQFITRHz https://t.co/hnVwu5jVfa,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/5_9_2017/904994908016058368_0.jpg,0,0,0.9508764
Hurricane Harvey: Second fatality amid warnings of 'catastrophic flooding' https://t.co/NNCmVs6Hwd https://t.co/Kfm0GITc3f,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/27_8_2017/901700886317195265_0.jpg,1,1,0.84590125
#BEARFIRE Fire in Santa Cruz mountains forces evacuations near Bear Crk Canyon Rd. https://t.co/hGrXVj6Xso https://t.co/n4Hbl5xsds via @KTVU,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/17_10_2017/920236266335162368_0.jpg,1,1,0.94557124
An article about #MexicoEarthquake - strongest in a Century that took dozens of lives https://t.co/P9rpn7cKRG https://t.co/tLWdn2jA4c,/home/julian/datasets/crisis_mmd/data_image/mexico_earthquake/23_9_2017/911634888998055936_3.jpg,1,1,0.9992298
Raleigh News Couple fleeing Florida ahead of Irma accidentally drives car into hotel pool https://t.co/3fyoE1D78H https://t.co/J0nZFr4YoD,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909782574913937408_0.jpg,0,0,0.9187601
"7.3 MAGNITUDE EARTHQUAKE HITS IRAN-IRAQ; MANY KILLED, THOUSANDS INJURED. https://t.co/BnsJS2pmus https://t.co/7UBHXQBoRg",/home/julian/datasets/crisis_mmd/data_image/iraq_iran_earthquake/13_11_2017/929993504662720512_0.jpg,1,1,0.9992969
Neighborhoods swallowed up by flames as toll rises in California wildfires CLICK BELOW FOR FULL STORY... ... https://t.co/oVThY6RZWI,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/10_10_2017/917848117084430336_0.jpg,0,0,0.8558349
From Hurricane Irma to Hurricane Maria [VIDEO] ► https://t.co/qV0azYQyco by @richardbranson #ClimateChange… https://t.co/4N5DZ0VUwM,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/19_9_2017/910142737504247813_0.jpg,1,1,0.9504707
the #earthquake killed more than 300 and wounded thousands in Kurdish region in #Iran &amp; #Iraq #BBCNews https://t.co/BozTlqs7fJ,/home/julian/datasets/crisis_mmd/data_image/iraq_iran_earthquake/13_11_2017/929994458153803776_2.jpg,1,1,0.8826871
RT @PaulHyde7: Irma snaps tree into two near Anderson University. @GreenvilleNews @independentmail https://t.co/e4b0QFatrO,/home/julian/datasets/crisis_mmd/data_image/hurricane_irma/18_9_2017/909779022644727808_0.jpg,0,0,0.93256044
Federal disaster aid for Puerto Rico isn’t foreign aid — but Trump acts that way https://t.co/8dZmmi0LL0 https://t.co/uKY4vWv7yo,/home/julian/datasets/crisis_mmd/data_image/hurricane_maria/6_11_2017/927480823296733184_0.jpg,1,1,0.84353286
The struggle is real. Harvey recovery for many Houstonians has just begun. Please remember and be patient. https://t.co/d9tslm75fT,/home/julian/datasets/crisis_mmd/data_image/hurricane_harvey/14_9_2017/908411231333208065_0.jpg,0,0,0.8894022
He Drove Through What Looked Like Hell And Made A Gut-Wrenching Discovery https://t.co/bDnQjrE6eW https://t.co/HXtnv4pOpR,/home/julian/datasets/crisis_mmd/data_image/california_wildfires/18_10_2017/920703535141994496_0.jpg,1,1,0.7168634
