tweet_text,image_damage,image_path
ASPCA Assists in Sheltering of Animals Displaced by California Wildfires via @ASPCA https://t.co/5ZY3CSV6tg https://t.co/JSuDna4IPB,severe_damage,data_image/california_wildfires/24_10_2017/922734446276640768_1.jpg
"Losses From California Wildfires Top $1 Billion, Expected to Rise 'Dramatically' https://t.co/u01pB7Vpyy https://t.co/Skr5jgG7WZ",severe_damage,data_image/california_wildfires/20_10_2017/921459303453569024_0.jpg
Stranded family paints ‘HELP’ on their roof after Hurricane Maria https://t.co/tqtZdFyQea https://t.co/KZY3VjNDpk,severe_damage,data_image/hurricane_maria/27_9_2017/913054270236135434_0.jpg
You could have money coming to you if you couldn't work during Hurricane Irma: https://t.co/D7Mnyduxrv https://t.co/2dMYvFaRnx,severe_damage,data_image/hurricane_irma/19_9_2017/910180940801904641_0.jpg
"38 Days After Hurricane Maria, St. Croix Residents Grapple With A New Reality https://t.co/SQh9hCjRFT https://t.co/xvTJ5CHpII",little_or_no_damage,data_image/hurricane_maria/27_10_2017/923808047495090176_0.jpg
"Building Supply Prices Rise, Labor Shortages Loom Following Harvey https://t.co/YaHarqGp0U https://t.co/FShBHlh3ch",severe_damage,data_image/hurricane_harvey/18_9_2017/909728942160048128_0.jpg
Thieves loot Houston home with body of Harvey victim still inside https://t.co/LLStRp9cMk https://t.co/2xUHcSEw8h,little_or_no_damage,data_image/hurricane_harvey/5_9_2017/905137064282378240_0.jpg
RT @surfinchef61: #HurricaneMaria starting to show up #muchaloha to friends off hwy 12 https://t.co/Sn3jGErRRH,severe_damage,data_image/hurricane_maria/27_9_2017/913070687501344768_0.jpg
81 Bangladesh fishermen missing in the wake of Cyclone Mora https://t.co/I6wEaC49SJ https://t.co/yzZ9RQdLwd,little_or_no_damage,data_image/srilanka_floods/1_6_2017/870294525419192324_0.jpg
Devastating aftermath of Hurricane Harvey as death toll rises (VIDEO) https://t.co/vFdv4329zZ https://t.co/C1P4wXDAXZ,severe_damage,data_image/hurricane_harvey/27_8_2017/901654785308352512_0.jpg
"Work ongoing to repair damage to #edistobeach post Irma. Lots of sand, barriers out of place @ABCNews4 #chstrfc #chs https://t.co/6hNdGGgQPg",little_or_no_damage,data_image/hurricane_irma/19_9_2017/910225493877813249_1.jpg
Harvey victims face temporary housing shortage in Houston https://t.co/6knOqsk6M3 https://t.co/voz7N0xMpZ,severe_damage,data_image/hurricane_harvey/11_9_2017/907361650600140800_0.jpg
He Drove Through What Looked Like Hell And Made A Gut-Wrenching Discovery https://t.co/bDnQjrE6eW https://t.co/HXtnv4pOpR,severe_damage,data_image/california_wildfires/18_10_2017/920703535141994496_0.jpg
"... In this time of great crisis and need, stretching from Harvey to Irma, we want to respond. https://t.co/e1wnmf2EQi",severe_damage,data_image/hurricane_harvey/8_9_2017/906231653428842497_0.jpg
Just got power back from #Irma after 5 days. Hopefully #Maria leaves the southeast alone... Hopefully she just goes… https://t.co/0jyUZHXk9H,little_or_no_damage,data_image/hurricane_irma/19_9_2017/910033969315446784_0.jpg
Share now share often don't let the #MexicoEarthquake victims be forgotten https://t.co/6vF83o0WYE https://t.co/xr5XTDH7HW,severe_damage,data_image/mexico_earthquake/21_9_2017/910690620389310465_0.jpg
"Harvey and Irma may have missed Louisiana, but we still could see insurance rates go up. https://t.co/hlMwPwPUJp https://t.co/Dr3m3AEO1p",little_or_no_damage,data_image/hurricane_harvey/15_9_2017/908674197328670721_0.jpg
RT @Enquirer: Xavier volleyball collecting donations for Hurricane Maria survivors https://t.co/EuMSmwcvm2 https://t.co/1PPuOmJOre,severe_damage,data_image/hurricane_maria/27_9_2017/912996928568397825_0.jpg
What prompted the #EPA to attack an #AP #reporter over an accurate #Hurricane #Harvey story? https://t.co/GPmO01qSRg https://t.co/kmfVjG8Pq7,severe_damage,data_image/hurricane_harvey/13_9_2017/907928859064061953_0.jpg
"Park staff are supporting Florida, Caribbean, Atlantic coast parks, assist with efforts in wake of Hurricane #Irma.‚Ä¶ https://t.co/XBtdVXod2s",little_or_no_damage,data_image/hurricane_irma/19_9_2017/910189039852097537_0.jpg
GRAPHIC: Harrowing video of California wildfire escape is terrifying https://t.co/Z9KTL8ovEU https://t.co/eHjP9fb9tY,little_or_no_damage,data_image/california_wildfires/16_10_2017/920013231862833152_0.jpg
Houston has sunk 2cm after Harvey rain https://t.co/MCHlyezBRX ^SkyNews https://t.co/hnSYGJUxhn,severe_damage,data_image/hurricane_harvey/7_9_2017/905909109064581120_0.jpg
"California wildfires blanket region in smoky pollutants, raising health risks https://t.co/V4KX0kF7y6 https://t.co/NM5hw5LpkX",severe_damage,data_image/california_wildfires/16_10_2017/920045440594268160_0.jpg
RT @TBOcom Flooded Withlacoochee residents remain upbeat in face of Irma damage https://t.co/mJx8LGPtOY https://t.co/JH82xrnaDz,severe_damage,data_image/hurricane_irma/18_9_2017/909698815384416256_0.jpg
There will be a special collection in parishes Sept. 9-10 to support #HarveyRelief https://t.co/ELghBmH3Sd https://t.co/5XVR69VcmT,severe_damage,data_image/hurricane_harvey/7_9_2017/905793922303176704_0.jpg
